time,concentration
0,0
0.38462,0
0.76923,0
1.1538,0.020502
1.5385,0.040668
1.9231,0.059061
2.3077,0.075838
2.6923,0.091141
3.0769,0.1051
3.4615,0.11783
3.8462,0.12944
4.2308,0.14004
4.6154,0.1497
5,0.15851
5.3846,0.16655
5.7692,0.17388
6.1538,0.18057
6.5385,0.18667
6.9231,0.19224
7.3077,0.19731
7.6923,0.20194
8.0769,0.20616
8.4615,0.21002
8.8462,0.21353
9.2308,0.21673
9.6154,0.21966
10,0.22232
10.385,0.22475
10.769,0.22697
11.154,0.229
11.538,0.23084
11.923,0.23253
12.308,0.23406
12.692,0.23546
13.077,0.23674
13.462,0.2379
13.846,0.23897
14.231,0.23994
14.615,0.24082
15,0.24163
15.385,0.24236
15.769,0.24303
16.154,0.24365
16.538,0.2442
16.923,0.24471
17.308,0.24518
17.692,0.2456
18.077,0.24599
18.462,0.24634
18.846,0.24666
19.231,0.24696
19.615,0.24722
20,0.24747
20.385,0.24769
20.769,0.24789
21.154,0.24808
21.538,0.24825
21.923,0.2484
22.308,0.24854
22.692,0.24867
23.077,0.24879
23.462,0.24889
23.846,0.24899
24.231,0.24908
24.615,0.24916
25,0.24923
25.385,0.2493
25.769,0.24936
26.154,0.24942
26.538,0.24947
26.923,0.24952
27.308,0.24956
27.692,0.2496
28.077,0.24963
28.462,0.24967
28.846,0.24969
29.231,0.24972
29.615,0.24975
30,0.24977
30.385,0.24979
30.769,0.24981
31.154,0.24982
31.538,0.24984
31.923,0.24985
32.308,0.24987
32.692,0.24988
33.077,0.24989
33.462,0.2499
33.846,0.24991
34.231,0.24992
34.615,0.24992
35,0.24993
35.385,0.24994
35.769,0.24994
36.154,0.24995
36.538,0.24995
36.923,0.24996
37.308,0.24996
37.692,0.24996
38.077,0.24997
38.462,0.24997
38.846,0.24997
39.231,0.24997
39.615,0.24998
40,0.24998
40.385,0.24998
40.769,0.24998
41.154,0.24998
41.538,0.24999
41.923,0.24999
42.308,0.24999
42.692,0.24999
43.077,0.24999
43.462,0.24999
43.846,0.24999
44.231,0.24999
44.615,0.24999
45,0.24999
45.385,0.24999
45.769,0.24999
46.154,0.25
46.538,0.25
46.923,0.25
47.308,0.25
47.692,0.25
48.077,0.25
48.462,0.25
48.846,0.25
49.231,0.25
49.615,0.25
50,0.25
